Name,RatingValue,DatePublished,Review,Sentiment
Ha Gow Dim Sum House,2,2019-09-24,"We were in the neighborhood and couldn't decide what to eat so we did what others would do in our situation which was to bust out our phones and go on Yelp for suggestions! Well Yelp led us to this place based on its high ratings but I'm sad to say that Yelp has failed me again.  This restaurant's dimsum quality was not good. The curry cuttlefish was very watery and bland, their chicken feet had a weird taste, their sui mai was okay but again kind of bland, their spare ribs was full of fat and the list goes on and on with negative things to say about their other dishes. None was good!

Service was okay but their debit machine was down and I didn't have cash on me and when I asked if they take e- transfers, they said no. So I had to drive out to a bank to get cash which was a bit of a pain but of well.

Definitely will not comes back to this one.",0
Campechano Taquería,4,2019-06-26,"A great spot for some tacos!

Been meaning to go here for a while and after 1hr in Costco followed by the lovely prime time traffic back to King West it was time!!

Firstly, defo aim to go when its sunny and sit outside, the outdoor area is nice and if you can get in the little secluded section you may never leave.

On the tacos i had the Haddock Fish Taco, the Steak and Chorizo and the Chicken ones - I warn now do not be as greedy as me 3 of these tacos was too much of course i ate them but 2 is well enough.

The fish one was only ok but the Steak Taco was one of the best I have had...the chicken also is a treat so go for them 2.

All the ingredients felt fresh and each taco came with different toppings to compliment the meats which which they did perfectly!

Absolutely worth a go if your a taco fan, just don't be surprised when you accidentally spend over 100$

PS - The cocktails are unique and amazing, the Pina-Mojito is a must try ...hmmm maybe this is why i cleared 100$

PPS - Get chips and Guac, its good and free refills on the chips.",2
Mariachi’s Restaurant,3,2019-12-23,"Amazing food and drinks. The place is more casual and I loved the decoration. We went at autumn so we could still stay at the patio.

The only thing is that my food was supposed to go in the oven, so my husband dish came first. He finished his meal and then I finally got mine. We complained nicely to the server, but I don't think it made difference. 
I also had a frozen Margherita (which I liked very much) But overall, it's a nice place.",1
King’s Tacos,3,2019-08-16,Had to check this place out after my friends raved about its authenticity. Staff and servers are warm and welcoming. We ordered take out and didn't have to wait too long. I had the chicken tacos which I found to be dry. May have to try the beef ones next time.,1
Giulietta,3,2019-04-26,"This restaurant is now on the top 10 list for the best restaurants in Canada.  I came here before the list came out and I have to say I am extremely underwhelmed.  There are much better restaurants in Toronto that deserve to take its place on the list, and especially much better ITALIAN in Toronto.

I had the calamari to start which was fresh and came with some shishito peppers which was fun.  But I find nowadays calamari is pretty good at most places.  For the mains I had the ravioli (cello spinach, stracciatella, walnut pesto) which is not a dish that would bring me back to the restaurant again.  I found the walnut pesto to be overpowering and very gritty/thick, but to be fair I actually don't like walnut that much.  

The pizza I had was thin crust and just nothing amazing.  There is MUCH better pizza elsewhere all over Toronto.  I have NO idea how this restaurant made it to the top restaurant list in Canada and I will not be coming back again.  I am giving 3 stars because the service is FANtastic and the restaurant is beautiful.",1
King’s Tacos,4,2020-02-16,"Didn't expect much going into the restaurant but was quite surprised by how roomy it is inside. They can easily host parties with reservations.

We ordered a burrito and one of the make-your-own tacos. Everything was nicely seasoned and they had free chips to start. They also offered 3 types of dips ranging from mild to spicy. Great service with big portions of food. Would come back again",2
Jacobs & Co. Steakhouse,4,2019-02-17,"Finally had the opportunity to come here after hearing all the great things about this place. Very upscale and posh vibe. 

Servers were descriptive with the menu and was very at tentative. Made great recommendations.

Oysters tasted fresh. Table side Cesar salad was great. Ribeye was well cooked but still tough and chewy. Wasn't particularly well seasoned which is why the side salt and sauces were provided. Could have lived without the rapini and mushroom. Bone marrow is a must. 

Independently a very great experience but tainted from just coming back from Japan.",2
Fishman Lobster Clubhouse Restaurant,5,2019-09-21,"This is a restaurant meant for dining in large groups. The food is delicious and good quality seafood, with large quantities, depending on the option you choose. One thing to keep in mind is that the menu options are a bit on the higher budget scale, but the portions are quite good. The highlight dishes are the lobster tower, crab tower, and deep fried oysters.

Make sure to call in advance and reserve a table.",2
El Catrin Destileria,4,2019-12-14,"Love, love, love this place. 

There are not a lot of great Mexican restaurants in Toronto.
Look no further than this spot for a great meal.

Their ceviche and fish tacos are da bomb..
Margaritas come in a variety of flavors and as a single drink or by the pitcher.

Do not miss the churros as a finish.  They come with multiple dipping sauces and are great!

They have a great patio in the summertime. 
It gets busy too!  

It's located in the Distillery District.  Green P parking right on the site at a fee. 
This area has a lot of cobblestone walkways so leave the high heels at home.",2
La Carnita,3,2019-09-22,"I'll start off by saying that I firmly believe that people come here for the atmosphere. It's a great place to just hang out, enjoy the music, and the drinks ! The taco's aren't the best I've ever had...nor are they the worst tacos either. You're paying almost $6 for ONE little TINY sample sized taco. So you don't get your money's worth at all.  They have quite a bit of options to choose from when it comes to tacos which is actually a pro to this place( except for when some options are sold out..). A huge con to me would be the fact that some of my tacos were cold by the time it got to me.. another huge con would be the service. Considering that there were literally 4 customers seated you would have expected them to be a lot more attentive, but that wasn't the case. Anyways the chances of me returning to eat are extremely low. Might just stop in to have a drink if I'm ever in the area though...HOWEVER if you do decide to give this place a try..  go for the shrimp taco ! 

$60 dollars later... stomach was still growling and I had to head over to McDonalds. ...",1
DaiLo,2,2019-04-23,"One of the few restaurants I was most excited for but was left the most disappointed... Based on the reviews and pictures I came here with high expectations, unfortunately my experience was very underwhelming.

My friends and I ordered the crispy octopus tacos, hakka brown wontons, torched tamari glazed beef carpaccio, sichuan braised beef and the whole fried giggie trout. My table all agreed that the tacos were delicious and the best out of everything, and since this was the first dish brought to us we had very high hopes for the rest of our dinner. 

The rest of our food were just mediocre - it wasn't BAD but it wasn't to die for either. It honestly tasted like stuff we can make at home, which some people may not mind but my friends and I were expecting the fusion tastes to be more noticeable and long the lines of tastes we've never tried or experienced. The flavours/tastes didn't compliment each other or stood out to us at all, so we didn't really experience the ""fusion"" in any of the dishes except for the tacos. 

Some of the criticism agreed by my entire table for certain dishes were:

- the braised beef tasted exactly like the beef in pho, which is weird because the seasoning is completely different
- the wontons were a bit too salty 
- the trout was a bit too oily for us
- not enough sauces on the beef carpaccio, so it was too plain

Not only were the tastes not there, the portions were ridiculously small for the price (especially the tacos), aside from the trout. We usually order the same amount of food for 4 girls elsewhere and never finish - we finished all of the food here and were still hungry! Our final bill was $200 on the dot after taxes which is supposed to be AVERAGE I guess... but not worth it at DaiLo because we weren't full/satisfied. I feel like we could've spent the same amount elsewhere and gotten a better experience with food and actually be full afterwards. 

Despite the food not meeting our expectations, service was outstanding and impeccable. Our server was very patient with us and answered all of our questions, and explained each dish that came out beautifully. Our waters were always filled, and dishes were cleared quickly so our table was never too crowded. It was very quick to get his attention too when needed. 

Would I come back? Most likely not. I applaud DaiLo for trying with the the whole fusion scene but it just didn't work for us. The ""fusion"" additions they tried weren't enough to make most of the dishes stand out to us, the dishes tasted far too familiar at home... Sucks because we all really wanted to like this place!",0
House of Gourmet,3,2019-10-08,"Spontaneous craving for Chinese food but wanting to give other restaurants a chance in Chinatown led me to House of Gourmet. 

Portions are on the smaller side and they were decent enough to satisfy cravings. Wasn't much of a wow factor in my opinion. Ordered Yeung Chow fried rice, sweet and sour pork, beef soya sauce noodles, turnip cakes and snow peas for a group of 4. Topped it off with a iced lemon tea each.",1
Fudao noodle house,3,2019-08-18,"I think I ordered the wrong broth here. I probably would have enjoyed my meal much more but the broth was overpowering, a lot more pungent than I'm used to. But I powered through it and it ended up being good. So point is, don't get the pickled vegetable with pork broth unless you know what you're getting into! I wish I could come here to try more soups. I love the concept: Piping hot soup still boiling as you dip the veggie and other condiments in. Add a few slices of pork and then the noodles as your last bet. Very presentable and affordable!",1
Seven Lives Tacos y Mariscos,4,2019-09-22,"Pros:
1. The shrimp & cheese taco (only 1 taco...) is delicious.
2. The taco finishes with a layer of cheese and pickled onion, quite guilty :) 
3. And a layer of meat at the bottom!

Cons:
1.long lineup 
2. $2 higher than other places in Kensington Market.",2
Dynasty Chinese Cuisine,5,2019-12-30,"A little on the pricy side but that's what you get when you dine in Yorkville. The dim sum is honestly very good, surpassed only perhaps in value by the crown princess a little further down Bay street. A few non-dim sum dishes are excellent as well, including their Singapore noodles and Bok Choy. 

Their staff are as professional as they come. A very pleasant dim sum experience",2
Ha Gow Dim Sum House,4,2018-11-26,Got to this place recently. The shrimp dumplings were delicious. At least to my tastes. It has been a long time since I last got dim sum so I can't really compare to other places but I certainly enjoyed my meal and would like to come back again.,2
